index,Date,Number,Site,Cultivar,Firmness1,Firmness2,Brix,Starch,Image_folder_A,Image_folder_B,Image_folder_C,Image_folder_D,ID,image_num_A,image_filename_A,image_num_B,image_filename_B,image_num_C,image_filename_C,image_num_D,image_filename_D,Avg_firmness,Starch2,Streif
0,7-Mar-24,1,PFR FOPs,Gala,7.75,7.44,12.69,32,20240307 Gala/2024-03-07_001/2024-03-07_001.png,20240307 Gala/2024-03-07_002/2024-03-07_002.png,20240307 Gala/2024-03-07_003/2024-03-07_003.png,20240307 Gala/2024-03-07_004/2024-03-07_004.png,Gala_1,001,2024-03-07_001.png,002,2024-03-07_002.png,003,2024-03-07_003.png,004,2024-03-07_004.png,7.595000000000001,9.0,5.386524822695035
1,7-Mar-24,2,PFR FOPs,Gala,8.1,7.42,12.53,22,20240307 Gala/2024-03-07_001/2024-03-07_001.png,20240307 Gala/2024-03-07_002/2024-03-07_002.png,20240307 Gala/2024-03-07_003/2024-03-07_003.png,20240307 Gala/2024-03-07_004/2024-03-07_004.png,Gala_2,001,2024-03-07_001.png,002,2024-03-07_002.png,003,2024-03-07_003.png,004,2024-03-07_004.png,7.76,9.0,5.573822825219474
2,7-Mar-24,3,PFR FOPs,Gala,8.02,7.09,11.8,28,20240307 Gala/2024-03-07_001/2024-03-07_001.png,20240307 Gala/2024-03-07_002/2024-03-07_002.png,20240307 Gala/2024-03-07_003/2024-03-07_003.png,20240307 Gala/2024-03-07_004/2024-03-07_004.png,Gala_3,001,2024-03-07_001.png,002,2024-03-07_002.png,003,2024-03-07_003.png,004,2024-03-07_004.png,7.555,9.0,5.76228813559322
3,7-Mar-24,4,PFR FOPs,Gala,7.53,7.07,12.15,38,20240307 Gala/2024-03-07_001/2024-03-07_001.png,20240307 Gala/2024-03-07_002/2024-03-07_002.png,20240307 Gala/2024-03-07_003/2024-03-07_003.png,20240307 Gala/2024-03-07_004/2024-03-07_004.png,Gala_4,001,2024-03-07_001.png,002,2024-03-07_002.png,003,2024-03-07_003.png,004,2024-03-07_004.png,7.300000000000001,9.0,5.407407407407407
4,7-Mar-24,5,PFR FOPs,Gala,7.3,7.11,12.36,31,20240307 Gala/2024-03-07_001/2024-03-07_001.png,20240307 Gala/2024-03-07_002/2024-03-07_002.png,20240307 Gala/2024-03-07_003/2024-03-07_003.png,20240307 Gala/2024-03-07_004/2024-03-07_004.png,Gala_5,001,2024-03-07_001.png,002,2024-03-07_002.png,003,2024-03-07_003.png,004,2024-03-07_004.png,7.205,9.0,5.2463592233009715
5,7-Mar-24,6,PFR FOPs,Gala,7.36,7.07,11.49,20,20240307 Gala/2024-03-07_001/2024-03-07_001.png,20240307 Gala/2024-03-07_002/2024-03-07_002.png,20240307 Gala/2024-03-07_003/2024-03-07_003.png,20240307 Gala/2024-03-07_004/2024-03-07_004.png,Gala_6,001,2024-03-07_001.png,002,2024-03-07_002.png,003,2024-03-07_003.png,004,2024-03-07_004.png,7.215,9.0,5.651436031331593
6,7-Mar-24,7,PFR FOPs,Gala,7.25,7.8,11.65,18,20240307 Gala/2024-03-07_005/2024-03-07_005.png,20240307 Gala/2024-03-07_006/2024-03-07_006.png,20240307 Gala/2024-03-07_007/2024-03-07_007.png,20240307 Gala/2024-03-07_008/2024-03-07_008.png,Gala_7,005,2024-03-07_005.png,006,2024-03-07_006.png,007,2024-03-07_007.png,008,2024-03-07_008.png,7.525,10.0,6.459227467811159
7,7-Mar-24,8,PFR FOPs,Gala,6.61,7.15,11.51,16,20240307 Gala/2024-03-07_005/2024-03-07_005.png,20240307 Gala/2024-03-07_006/2024-03-07_006.png,20240307 Gala/2024-03-07_007/2024-03-07_007.png,20240307 Gala/2024-03-07_008/2024-03-07_008.png,Gala_8,005,2024-03-07_005.png,006,2024-03-07_006.png,007,2024-03-07_007.png,008,2024-03-07_008.png,6.880000000000001,10.0,5.977410947002607
8,7-Mar-24,9,PFR FOPs,Gala,7.78,10.02,11.07,84,20240307 Gala/2024-03-07_005/2024-03-07_005.png,20240307 Gala/2024-03-07_006/2024-03-07_006.png,20240307 Gala/2024-03-07_007/2024-03-07_007.png,20240307 Gala/2024-03-07_008/2024-03-07_008.png,Gala_9,005,2024-03-07_005.png,006,2024-03-07_006.png,007,2024-03-07_007.png,008,2024-03-07_008.png,8.9,4.0,3.2158988256549232
9,7-Mar-24,10,PFR FOPs,Gala,7.23,7.19,12.81,15,20240307 Gala/2024-03-07_005/2024-03-07_005.png,20240307 Gala/2024-03-07_006/2024-03-07_006.png,20240307 Gala/2024-03-07_007/2024-03-07_007.png,20240307 Gala/2024-03-07_008/2024-03-07_008.png,Gala_10,005,2024-03-07_005.png,006,2024-03-07_006.png,007,2024-03-07_007.png,008,2024-03-07_008.png,7.210000000000001,10.0,5.628415300546449
10,7-Mar-24,11,PFR FOPs,Gala,7.36,7.38,12.67,32,20240307 Gala/2024-03-07_005/2024-03-07_005.png,20240307 Gala/2024-03-07_006/2024-03-07_006.png,20240307 Gala/2024-03-07_007/2024-03-07_007.png,20240307 Gala/2024-03-07_008/2024-03-07_008.png,Gala_11,005,2024-03-07_005.png,006,2024-03-07_006.png,007,2024-03-07_007.png,008,2024-03-07_008.png,7.37,9.0,5.235201262825573
11,7-Mar-24,12,PFR FOPs,Gala,8.1,7.67,12.76,34,20240307 Gala/2024-03-07_005/2024-03-07_005.png,20240307 Gala/2024-03-07_006/2024-03-07_006.png,20240307 Gala/2024-03-07_007/2024-03-07_007.png,20240307 Gala/2024-03-07_008/2024-03-07_008.png,Gala_12,005,2024-03-07_005.png,006,2024-03-07_006.png,007,2024-03-07_007.png,008,2024-03-07_008.png,7.885,9.0,5.561520376175548
12,7-Mar-24,13,PFR FOPs,Gala,7.3,6.42,12.71,3,20240307 Gala/2024-03-07_009/2024-03-07_009.png,20240307 Gala/2024-03-07_010/2024-03-07_010.png,20240307 Gala/2024-03-07_011/2024-03-07_011.png,20240307 Gala/2024-03-07_012/2024-03-07_012.png,Gala_13,009,2024-03-07_009.png,010,2024-03-07_010.png,011,2024-03-07_011.png,012,2024-03-07_012.png,6.859999999999999,10.0,5.397324940991345
