index,Number,Tree,Cultivar,Brix,Starch,Firmness1,Firmness2,Site,Date,Image_folder_A,Image_folder_B,Image_folder_C,Image_folder_D,ID,image_num,image_filename_A,image_num_B,image_filename_B,image_num_C,image_filename_C,image_num_D,image_filename_D,Avg_firmness,Starch2,Streif
0,1,R1T36,Cox's Orange Pippin,12.8,29,2.8742740895208865,3.060066383525465,EM,11-Sept-24,20240911Cox-Gala-Fuji/004/004.png,20240911Cox-Gala-Fuji/005/005.png,20240911Cox-Gala-Fuji/006/006.png,20240911Cox-Gala-Fuji/007/007.png,Cox's Orange Pippin_1,004,004.png,005,005.png,006,006.png,007,007.png,2.9671702365231756,9.0,2.086291572555358
1,2,R1T36,Cox's Orange Pippin,10.5,8,3.6396730789821192,3.658639800543509,EM,11-Sept-24,20240911Cox-Gala-Fuji/004/004.png,20240911Cox-Gala-Fuji/005/005.png,20240911Cox-Gala-Fuji/006/006.png,20240911Cox-Gala-Fuji/007/007.png,Cox's Orange Pippin_2,004,004.png,005,005.png,006,006.png,007,007.png,3.6491564397628142,10.0,3.4753870854883946
2,3,R1T36,Cox's Orange Pippin,9.5,8,3.0029622755987013,3.481719037591838,EM,11-Sept-24,20240911Cox-Gala-Fuji/004/004.png,20240911Cox-Gala-Fuji/005/005.png,20240911Cox-Gala-Fuji/006/006.png,20240911Cox-Gala-Fuji/007/007.png,Cox's Orange Pippin_3,004,004.png,005,005.png,006,006.png,007,007.png,3.2423406565952697,10.0,3.412990164837126
3,4,R1T36,Cox's Orange Pippin,10.0,3,3.2871571841556495,3.801705985224312,EM,11-Sept-24,20240911Cox-Gala-Fuji/004/004.png,20240911Cox-Gala-Fuji/005/005.png,20240911Cox-Gala-Fuji/006/006.png,20240911Cox-Gala-Fuji/007/007.png,Cox's Orange Pippin_4,004,004.png,005,005.png,006,006.png,007,007.png,3.5444315846899808,10.0,3.544431584689981
4,1,R2T24,Gala,10.6,92,9.813238975593093,8.634752948254501,EM,11-Sept-24,20240911Cox-Gala-Fuji/014/014.png,20240911Cox-Gala-Fuji/015/015.png,20240911Cox-Gala-Fuji/016/016.png,20240911Cox-Gala-Fuji/017/017.png,Gala_5,014,014.png,015,015.png,016,016.png,017,017.png,9.223995961923798,2.0,1.7403765965893958
5,2,R2T24,Gala,10.3,65,8.554909168778329,8.83023254628237,EM,11-Sept-24,20240911Cox-Gala-Fuji/014/014.png,20240911Cox-Gala-Fuji/015/015.png,20240911Cox-Gala-Fuji/016/016.png,20240911Cox-Gala-Fuji/017/017.png,Gala_6,014,014.png,015,015.png,016,016.png,017,017.png,8.692570857530349,7.0,5.90757242744781
6,3,R2T24,Gala,9.9,94,9.421973864673461,8.51565009457868,EM,11-Sept-24,20240911Cox-Gala-Fuji/014/014.png,20240911Cox-Gala-Fuji/015/015.png,20240911Cox-Gala-Fuji/016/016.png,20240911Cox-Gala-Fuji/017/017.png,Gala_7,014,014.png,015,015.png,016,016.png,017,017.png,8.968811979626071,2.0,1.8118812080052669
7,4,R2T24,Gala,10.4,94,9.16011074118073,9.56300061692831,EM,11-Sept-24,20240911Cox-Gala-Fuji/014/014.png,20240911Cox-Gala-Fuji/015/015.png,20240911Cox-Gala-Fuji/016/016.png,20240911Cox-Gala-Fuji/017/017.png,Gala_8,014,014.png,015,015.png,016,016.png,017,017.png,9.36155567905452,2.0,1.800299169048946
8,5,R2T24,Gala,10.2,41,7.7856352577077805,8.429178159718152,EM,11-Sept-24,20240911Cox-Gala-Fuji/014/014.png,20240911Cox-Gala-Fuji/015/015.png,20240911Cox-Gala-Fuji/016/016.png,20240911Cox-Gala-Fuji/017/017.png,Gala_9,014,014.png,015,015.png,016,016.png,017,017.png,8.107406708712967,9.0,7.153594154746735
9,6,R2T24,Gala,10.0,83,9.975883711563073,9.746039677157848,EM,11-Sept-24,20240911Cox-Gala-Fuji/014/014.png,20240911Cox-Gala-Fuji/015/015.png,20240911Cox-Gala-Fuji/016/016.png,20240911Cox-Gala-Fuji/017/017.png,Gala_10,014,014.png,015,015.png,016,016.png,017,017.png,9.86096169436046,4.0,3.944384677744184
10,7,R2T24,Gala,9.9,73,8.072481428418472,7.986825266528325,EM,11-Sept-24,20240911Cox-Gala-Fuji/018/018.png,20240911Cox-Gala-Fuji/019/019.png,20240911Cox-Gala-Fuji/020/020.png,20240911Cox-Gala-Fuji/021/021.png,Gala_11,018,018.png,019,019.png,020,020.png,021,021.png,8.029653347473399,5.0,4.0553804785219185
11,8,R2T24,Gala,11.8,82,9.07282303334982,7.837028954841869,EM,11-Sept-24,20240911Cox-Gala-Fuji/018/018.png,20240911Cox-Gala-Fuji/019/019.png,20240911Cox-Gala-Fuji/020/020.png,20240911Cox-Gala-Fuji/021/021.png,Gala_12,018,018.png,019,019.png,020,020.png,021,021.png,8.454925994095845,4.0,2.866076608168083
12,9,R2T24,Gala,10.4,70,8.734787108747637,9.285739778619611,EM,11-Sept-24,20240911Cox-Gala-Fuji/018/018.png,20240911Cox-Gala-Fuji/019/019.png,20240911Cox-Gala-Fuji/020/020.png,20240911Cox-Gala-Fuji/021/021.png,Gala_13,018,018.png,019,019.png,020,020.png,021,021.png,9.010263443683623,6.0,5.198228909817475
13,10,R2T24,Gala,10.2,99,8.70225816155364,9.315719435281162,EM,11-Sept-24,20240911Cox-Gala-Fuji/018/018.png,20240911Cox-Gala-Fuji/019/019.png,20240911Cox-Gala-Fuji/020/020.png,20240911Cox-Gala-Fuji/021/021.png,Gala_14,018,018.png,019,019.png,020,020.png,021,021.png,9.008988798417402,1.0,0.8832341959232748
14,11,R2T24,Gala,10.4,94,10.038188372176025,10.008718573620962,EM,11-Sept-24,20240911Cox-Gala-Fuji/018/018.png,20240911Cox-Gala-Fuji/019/019.png,20240911Cox-Gala-Fuji/020/020.png,20240911Cox-Gala-Fuji/021/021.png,Gala_15,018,018.png,019,019.png,020,020.png,021,021.png,10.023453472898494,2.0,1.9275872063266333
15,12,R2T24,Gala,10.6,88,10.940535249040193,10.566299398877293,EM,11-Sept-24,20240911Cox-Gala-Fuji/018/018.png,20240911Cox-Gala-Fuji/019/019.png,20240911Cox-Gala-Fuji/020/020.png,20240911Cox-Gala-Fuji/021/021.png,Gala_16,018,018.png,019,019.png,020,020.png,021,021.png,10.753417323958743,3.0,3.043419997346814
16,13,R2T24,Gala,10.1,100,10.15433404883421,9.658649997705638,EM,11-Sept-24,20240911Cox-Gala-Fuji/022/022.png,20240911Cox-Gala-Fuji/023/023.png,20240911Cox-Gala-Fuji/024/024.png,20240911Cox-Gala-Fuji/025/025.png,Gala_17,022,022.png,023,023.png,024,024.png,025,025.png,9.906492023269923,1.0,0.9808407943831607
17,14,R2T24,Gala,9.8,80,7.628904875773072,8.418063252996692,EM,11-Sept-24,20240911Cox-Gala-Fuji/022/022.png,20240911Cox-Gala-Fuji/023/023.png,20240911Cox-Gala-Fuji/024/024.png,20240911Cox-Gala-Fuji/025/025.png,Gala_18,022,022.png,023,023.png,024,024.png,025,025.png,8.023484064384881,4.0,3.2748914548509718
18,15,R2T24,Gala,9.9,100,10.907904330224898,10.854879087150048,EM,11-Sept-24,20240911Cox-Gala-Fuji/022/022.png,20240911Cox-Gala-Fuji/023/023.png,20240911Cox-Gala-Fuji/024/024.png,20240911Cox-Gala-Fuji/025/025.png,Gala_19,022,022.png,023,023.png,024,024.png,025,025.png,10.881391708687474,1.0,1.0991304756249973
19,16,R2T24,Gala,10.6,94,9.064359388782103,9.783565233795436,EM,11-Sept-24,20240911Cox-Gala-Fuji/022/022.png,20240911Cox-Gala-Fuji/023/023.png,20240911Cox-Gala-Fuji/024/024.png,20240911Cox-Gala-Fuji/025/025.png,Gala_20,022,022.png,023,023.png,024,024.png,025,025.png,9.423962311288768,2.0,1.778106096469579
20,17,R2T25,Gala,10.0,94,8.764256907302698,9.40361897283986,EM,11-Sept-24,20240911Cox-Gala-Fuji/022/022.png,20240911Cox-Gala-Fuji/023/023.png,20240911Cox-Gala-Fuji/024/024.png,20240911Cox-Gala-Fuji/025/025.png,Gala_21,022,022.png,023,023.png,024,024.png,025,025.png,9.08393794007128,2.0,1.816787588014256
21,18,R2T25,Gala,10.3,88,7.769727684785324,8.422346061091199,EM,11-Sept-24,20240911Cox-Gala-Fuji/022/022.png,20240911Cox-Gala-Fuji/023/023.png,20240911Cox-Gala-Fuji/024/024.png,20240911Cox-Gala-Fuji/025/025.png,Gala_22,022,022.png,023,023.png,024,024.png,025,025.png,8.096036872938262,3.0,2.35806899211794
22,19,R2T25,Gala,10.1,82,7.795730448216262,9.269628262454559,EM,11-Sept-24,20240911Cox-Gala-Fuji/026/026.png,20240911Cox-Gala-Fuji/027/027.png,20240911Cox-Gala-Fuji/028/028.png,20240911Cox-Gala-Fuji/029/029.png,Gala_23,026,026.png,027,027.png,028,028.png,029,029.png,8.53267935533541,4.0,3.3792789526080838
23,20,R2T25,Gala,11.4,100,9.961709656202679,8.98033477283272,EM,11-Sept-24,20240911Cox-Gala-Fuji/026/026.png,20240911Cox-Gala-Fuji/027/027.png,20240911Cox-Gala-Fuji/028/028.png,20240911Cox-Gala-Fuji/029/029.png,Gala_24,026,026.png,027,027.png,028,028.png,029,029.png,9.4710222145177,1.0,0.8307914223261139
24,21,R2T25,Gala,11.0,69,8.689103822406224,8.633529288798927,EM,11-Sept-24,20240911Cox-Gala-Fuji/026/026.png,20240911Cox-Gala-Fuji/027/027.png,20240911Cox-Gala-Fuji/028/028.png,20240911Cox-Gala-Fuji/029/029.png,Gala_25,026,026.png,027,027.png,028,028.png,029,029.png,8.661316555602575,6.0,4.724354484874132
25,22,R2T25,Gala,10.6,100,8.988900389021735,9.50610045224414,EM,11-Sept-24,20240911Cox-Gala-Fuji/026/026.png,20240911Cox-Gala-Fuji/027/027.png,20240911Cox-Gala-Fuji/028/028.png,20240911Cox-Gala-Fuji/029/029.png,Gala_26,026,026.png,027,027.png,028,028.png,029,029.png,9.247500420632939,1.0,0.8724057000597112
